species-name,common-name,common-name-th,common-name-th2,genus,family,images,num-images,num-observations,,
Annona muricata L.,soursop,ทุเรียนเทศ,สเปรดซ็อป,annona,annonaceae,"['https://bs.plantnet.org/image/s/401c4a8174cdd40ae793a93c8475face97c5d5e7', 'https://bs.plantnet.org/image/s/13d6f23ec5b804f1730a4634026329704610b92d', 'https://bs.plantnet.org/image/s/20ed2e6559274ca342313bf7d97dee2b0fdfa218', 'https://bs.plantnet.org/image/s/41c139a838ca76da1a1e57142c72c600106a70ee', 'https://bs.plantnet.org/image/s/8f84295b934664f24d8dad814e4ba8c07a9ea615', 'https://api.plantnet.org/v1/gbif/5407273/map.png']",LC,1798,,
Annona purpurea Moc. & Sessé ex Dunal,negrohead,นิโกรเฮด,หัวรุนแรง,annona,annonaceae,"['https://bs.plantnet.org/image/s/8ca6e1fa7d7c4efd33cbc762875e59385ba8be25', 'https://bs.plantnet.org/image/s/5d5f0fad698b83456cbe82a0e16a66ffcd4f91c8', 'https://bs.plantnet.org/image/s/d2810e6dcc8289c1dc70af4c1aa136c3d690335f', 'https://bs.plantnet.org/image/s/8f471b9b03162026ac2c8bd8363664c8fdc94320', 'https://bs.plantnet.org/image/s/df1d4b84370ade039dfba2e75922f8cb90c7bdc1', 'https://api.plantnet.org/v1/gbif/5407091/map.png']",LC,47,,
Annona reticulata L.,custard apple,น้อยหน่า,น้อยหน่า,annona,annonaceae,"['https://bs.plantnet.org/image/s/c28d295b768103712f37d78269c646a3b96386aa', 'https://bs.plantnet.org/image/s/ac77e292e5e2c6da875f380d6453bd00107c4c3b', 'https://bs.plantnet.org/image/s/252777f8a9892a75b36d73521577967b1c74cff0', 'https://bs.plantnet.org/image/s/13dc1cfa2c444d10fe5ae1aabdcdb7235faed020', 'https://bs.plantnet.org/image/s/ce93373f082cf5c30fd342e774a70ff60c799084', 'https://api.plantnet.org/v1/gbif/5407123/map.png']",LC,371,,
Annona squamosa L.,sugar apple,แอปเปิ้ลน้ำตาล,แอปเปิ้ลน้ำตาล,annona,annonaceae,"['https://bs.plantnet.org/image/s/7ea5a1b49e9c1742e1581f7faa50d72e1ef1d101', 'https://bs.plantnet.org/image/s/72e986b9e42da90a355b343237f5ba5aefc12970', 'https://bs.plantnet.org/image/s/bfd2d89db1f3c65f9a72fd775e2401b34c611f80', 'https://bs.plantnet.org/image/s/744728c54c4374af7004504652dcead2d0d7604f', 'https://bs.plantnet.org/image/s/0d28f53ed4c00e52e9f4c0f8dbae93a50747eeff', 'https://api.plantnet.org/v1/gbif/5407099/map.png']",LC,1366,,
Anogeissus latifolia (Roxb. ex DC.) Wall. ex Guillem. & Perr.,buttontree,รังดุม,buttontree,anogeissus,combretaceae,"['https://bs.plantnet.org/image/s/58124137b71a0ed51fb49483a5185443104b20dc', 'https://bs.plantnet.org/image/s/72370021fd56229c5473c8a15e7261e108c14071', 'https://bs.plantnet.org/image/s/0ff8c3733cce23cfac738e97a67b8ce70eb8608e', 'https://bs.plantnet.org/image/s/ad379e3e682d783af54ddaf4a8d8d66a9407c338', 'https://api.plantnet.org/v1/gbif/3189413/map.png']",4,1,,
Anredera cordifolia (Ten.) Steenis,maderia-vine,Maderia-เถาวัลย์,Madeia-Vine,anredera,basellaceae,"['https://bs.plantnet.org/image/s/76192a1a63d5a94329ebe505583aa0b844a7592b', 'https://bs.plantnet.org/image/s/a05f0018cf943485750952c474e9b357a3cb970d', 'https://bs.plantnet.org/image/s/7d74894abb05b0d8a78944f0d9bf77d1863ad3dc', 'https://bs.plantnet.org/image/s/5e3354c816fb8615217286543f27ac603bb5b7a5', 'https://bs.plantnet.org/image/s/8a7c2cd1a070bdb5658fc857bf3d847c92b727bc', 'https://api.plantnet.org/v1/gbif/3083508/map.png']",1201,861,,
Anthriscus cerefolium (L.) Hoffm.,cow parsley,ผักชีฝรั่งวัว,พาร์สลีย์วัว,anthriscus,apiaceae,"['https://bs.plantnet.org/image/s/076691029a3715787bd54dcd3aa8b4b6db90572a', 'https://bs.plantnet.org/image/s/16952aa6dc224c8ffab39d9014938aaad654b2df', 'https://bs.plantnet.org/image/s/83b587bc0ddd4da7c136575aad9edd79a422800f', 'https://bs.plantnet.org/image/s/b55507cd648f062a60ee455d2317388f10d8fcaf', 'https://bs.plantnet.org/image/s/ba4b75f78e16da63fe4e1c173f4f04e3fb7dbc55', 'https://api.plantnet.org/v1/gbif/5371746/map.png']",3670,3033,,
Antiaris toxicaria Lesch.,upas tree,ต้นอุปัชฌาย์,รอง -Trees,antiaris,moraceae,"['https://bs.plantnet.org/image/s/ab6aacae8b2eb786bda2017ca2b8c25eaf27fd56', 'https://bs.plantnet.org/image/s/ab6aacae8b2eb786bda2017ca2b8c25eaf27fd56', 'https://bs.plantnet.org/image/s/acc633ecd97744a43299bb3b802c4f03ea08728c', 'https://bs.plantnet.org/image/s/2fab995d52c4ec59377e332b0801bf89b56ecdb3', 'https://bs.plantnet.org/image/s/fbb873d72070880cfcc690e60ff80f7ab97e5fe6', 'https://api.plantnet.org/v1/gbif/7262663/map.png']",LC,37,,
Antidesma bunius (L.) Spreng.,chinese-laurel,จีนลอเรล,ชาวจีน,antidesma,phyllanthaceae,"['https://bs.plantnet.org/image/s/5a1cccaa851716d0af86261f4de055069bea89ca', 'https://bs.plantnet.org/image/s/2ed5fc4717ec82642a12722794ffe2154b9ac0fc', 'https://bs.plantnet.org/image/s/50a98aba1445ee169e2000aa45362af283e8b5ab', 'https://bs.plantnet.org/image/s/50a691bdd2f3d840bf7c087b7621173d0d5dc443', 'https://bs.plantnet.org/image/s/b82ceffb4c5fddd5858976283b5d6373d9e4c9c5', 'https://api.plantnet.org/v1/gbif/3076436/map.png']",LC,29,,
Antidesma coriaceum Tul.,,,,antidesma,phyllanthaceae,"['https://bs.plantnet.org/image/s/7cfed5e32012beaa173a1cd327c652be0dc3785a', 'https://bs.plantnet.org/image/s/a3237e9102d65216e92ff6b767de7c84ad8b3d99', 'https://api.plantnet.org/v1/gbif/3076449/map.png']",LC,2,,
Antidesma cuspidatum Müll.Arg.,,,,antidesma,phyllanthaceae,"['https://bs.plantnet.org/image/s/c3b80fdef5dd5b6992d2bb12b3460380f56a6147', 'https://api.plantnet.org/v1/gbif/3076556/map.png']",LC,1,,
Antidesma ghaesembilla Gaertn.,black currant-tree,ต้นลูกเกดดำ,ต้นลูกเกดสีดำ,antidesma,phyllanthaceae,"['https://bs.plantnet.org/image/s/6a68a12ec1647f00b872e6d601fa0e3f382c1de4', 'https://bs.plantnet.org/image/s/ec13ec3c2c890ebf03e83389fcf81ce67ef03e32', 'https://bs.plantnet.org/image/s/1fd0a5fc7fa7496a776551717e511a8daf348eb2', 'https://bs.plantnet.org/image/s/460c888d12316959d56200c7ea68b4862b5dc31d', 'https://bs.plantnet.org/image/s/422f9bca2313fbe03d24a120e9574a05e17c581a', 'https://api.plantnet.org/v1/gbif/3076438/map.png']",LC,17,,
Antidesma montanum Blume,,,,antidesma,phyllanthaceae,"['https://bs.plantnet.org/image/s/f3df5d800cde2a06c6b6d9c122f0bee1867b90b3', 'https://bs.plantnet.org/image/s/ae919e77207b97b3b82760ad37a2c1a9a02ececb', 'https://bs.plantnet.org/image/s/676686d7440e07c648e72e2c4caacf1aabf52c01', 'https://bs.plantnet.org/image/s/150302e2b21d41aa36e650dff13ecc6c90123085', 'https://bs.plantnet.org/image/s/141662b3502e08c4e6ff93371833d0d41298308d', 'https://api.plantnet.org/v1/gbif/3076595/map.png']",LC,32,,
Antidesma neurocarpum Miq.,,,,antidesma,phyllanthaceae,"['https://bs.plantnet.org/image/s/f85e9ce350aa050ed11bff6606e2bd0153f50479', 'https://bs.plantnet.org/image/s/3f4fcc7471017af2aae774b1475f5aae5bf25072', 'https://bs.plantnet.org/image/s/e446cee6ff80bce77696681ae21393d7bb6b50c1', 'https://bs.plantnet.org/image/s/5d002490805e149baf58ad4c0b1c1454d6782c43', 'https://bs.plantnet.org/image/s/e7ef71c87495c356c84bebfbd98117ff4125e4d0', 'https://api.plantnet.org/v1/gbif/3076696/map.png']",LC,6,,
Aphananthe cuspidata (Blume) Planch.,,,,aphananthe,cannabaceae,"['https://bs.plantnet.org/image/s/111a8642f0cd4386d46671e4e8888bcd696bd7bf', 'https://bs.plantnet.org/image/s/46724df81e0afd04c0818418a05e3c6b67105020', 'https://api.plantnet.org/v1/gbif/8293016/map.png']",2,1,,
Aphananthe philippinensis Planch.,wild holly,ฮอลลี่ป่า,ฮอลลี่ป่า,aphananthe,cannabaceae,"['https://bs.plantnet.org/image/s/fd613ab6400cdb3eaae8bb276fba6bd110f86383', 'https://bs.plantnet.org/image/s/67e4d7134b8a07669acd32517f39d1efc71f6171', 'https://bs.plantnet.org/image/s/7def78929c29e41faa5b9dc4f8e9b3534b9a7d9c', 'https://bs.plantnet.org/image/s/09913ca79166adc815b60d1b035757127a608383', 'https://bs.plantnet.org/image/s/5d50e0938739a44e619160c44c0294a31cae8caf', 'https://api.plantnet.org/v1/gbif/4159824/map.png']",LC,8,,
Apium graveolens L.,celery,คื่นฉ่าย,คื่นฉ่าย,apium,apiaceae,"['https://bs.plantnet.org/image/s/9605eceb28561fb9269a1343e22674af44d0e155', 'https://bs.plantnet.org/image/s/f0664142343f6077cb1413ce6ded8dea7310d276', 'https://bs.plantnet.org/image/s/64984368a7ba2ea110cba2b7543bb52ef2076217', 'https://bs.plantnet.org/image/s/6a22c7a9dd8a0aac125333715042a66b24809380', 'https://bs.plantnet.org/image/s/2a8ca0c7b13e4842167f71b98abcb5ad62d8dbbc', 'https://api.plantnet.org/v1/gbif/5371879/map.png']",LC,2119,,
Aporosa benthamiana Hook.f.,crescent tree,ต้นพระจันทร์เสี้ยว,ต้นเสี้ยว,aporosa,phyllanthaceae,"['https://bs.plantnet.org/image/s/71232f4e7bb742b74a3634004f96eb2e07459a1d', 'https://bs.plantnet.org/image/s/82b45cfee05c8b6ecd25d841834a8d40a03a882e', 'https://bs.plantnet.org/image/s/c18146ad3d2359be378aaac1c32089f984cc5186', 'https://bs.plantnet.org/image/s/0a3808f9be7a74e3a97c45b2a9e5e528f396462e', 'https://bs.plantnet.org/image/s/da78ff555743f45413a694b94ce76b83fb240d5f', 'https://api.plantnet.org/v1/gbif/5383430/map.png']",LC,16,,
Aporosa frutescens Blume,bastard rukam,มือไอ้สารเลว,จำนวนไอ้,aporosa,phyllanthaceae,"['https://bs.plantnet.org/image/s/7a5eadf6f13d2b0a74b9193c42c2f96335e1060b', 'https://bs.plantnet.org/image/s/f6f4eac2b43b5c986424172fbe74dd4359666ae1', 'https://bs.plantnet.org/image/s/041e6037576572d44dcab49e06b665acf2cd39d3', 'https://bs.plantnet.org/image/s/268acea3bb02c0bf114526f09472788fcc190c19', 'https://bs.plantnet.org/image/s/cfc3a963a9ee8e6cc1fe64c843430ed3811628be', 'https://api.plantnet.org/v1/gbif/5383378/map.png']",LC,6,,
Aporosa nervosa Hook.f.,,,,aporosa,phyllanthaceae,"['https://bs.plantnet.org/image/s/a2f57bcb24bc3bed4b04ef66093abd6ef9ffdb07', 'https://api.plantnet.org/v1/gbif/5383523/map.png']",LC,1,,
Aporosa symplocoides (Hook.f.) Gage,,,,aporosa,phyllanthaceae,"['https://bs.plantnet.org/image/s/2271af3794a3eb4874d414a8b5a81c0a3454667b', 'https://api.plantnet.org/v1/gbif/5383420/map.png']",LC,1,,
Aquilaria cumingiana (Decne.) Ridl.,,,,aquilaria,thymelaeaceae,"['https://bs.plantnet.org/image/s/e33af7651efbd576b238ab361a4af92fc2c3b005', 'https://api.plantnet.org/v1/gbif/5524111/map.png']",VU,1,,
Aquilaria malaccensis Lam.,indian aloewood,ว่านหางจระเข้อินเดีย,Aloewood อินเดีย,aquilaria,thymelaeaceae,"['https://bs.plantnet.org/image/s/658be354e5568361db616420a9fbda32a7c85546', 'https://bs.plantnet.org/image/s/43b8bda92ec4a7ac1c457e7474cbf954dc00fc93', 'https://bs.plantnet.org/image/s/293152648a9749d6f5b0f834e424b65cac3c4be9', 'https://bs.plantnet.org/image/s/069cef27aa9f28803f866788dde2a3c2c4c10429', 'https://bs.plantnet.org/image/s/ff3fca1bbae96dd400f4ce6c13e8c4a7de37d708', 'https://api.plantnet.org/v1/gbif/5524063/map.png']",CR,10,,
Arachis glabrata Benth.,rhizoma peanut,ถั่วลิสงเหง้า,ถั่วลิสง,arachis,fabaceae,"['https://bs.plantnet.org/image/s/f26a337db1dfeb39385bc625b8b68462fc6c2458', 'https://bs.plantnet.org/image/s/bd9beaa5317b1405a88068248b0f3d760bfd4092', 'https://bs.plantnet.org/image/s/8564750c667084a64731b0194a5adef02fbc5e96', 'https://bs.plantnet.org/image/s/860f18be6625e3d85256373203f5f5f485209cec', 'https://bs.plantnet.org/image/s/e5064946659565f4e51e5fca58b47ca4ec7cee00', 'https://api.plantnet.org/v1/gbif/5353813/map.png']",14,13,,
Arachis hypogaea L.,peanut,ถั่วลิสง,ถั่วลิสง,arachis,fabaceae,"['https://bs.plantnet.org/image/s/ed865bd3fd4953fc74f8b73cf0a7fe80b7a39095', 'https://bs.plantnet.org/image/s/8f824c59bbc0282c12fe16f5df4c84c66bb2fd60', 'https://bs.plantnet.org/image/s/cf31282a7ead55f2daa94e9741b7bf2608e0041f', 'https://bs.plantnet.org/image/s/bc14183aef290e5f95357df70e068137493d97a7', 'https://bs.plantnet.org/image/s/b13afc45da968acfb511ce361367dff6a28baabc', 'https://api.plantnet.org/v1/gbif/5353770/map.png']",992,796,,
Arachis pintoi Krapov. & W.C.Greg.,pinto peanut,ถั่วลิสงปิ่นโต,Pinto Peanut,arachis,fabaceae,"['https://bs.plantnet.org/image/s/283cce905c1b01c85bcf4aeee1dba90b6f459e27', 'https://bs.plantnet.org/image/s/c30bc855bc46063b2d8228c7212fbc11cd380d3e', 'https://bs.plantnet.org/image/s/ef514e05a94551f6fc6bbe7d3ecfb7afc7cdba92', 'https://bs.plantnet.org/image/s/b66f1bd2f00f5d60107f44829fa25ffca535a75a', 'https://bs.plantnet.org/image/s/3104105420a03673d89539368c3d5a1d03f9285b', 'https://api.plantnet.org/v1/gbif/5353826/map.png']",280,214,,
Araucaria bidwillii Hook.,bunya pine,ต้นสนบุนยา,Bunya Pine,araucaria,araucariaceae,"['https://bs.plantnet.org/image/s/3a8f1f8919e394f0e0f0a4140885908d99f4cabc', 'https://bs.plantnet.org/image/s/97d9eeedba09dd301f0b19a28edf663b8bb00657', 'https://bs.plantnet.org/image/s/445fc308cbeb8303fca12d43f6a9ef1242f2b380', 'https://bs.plantnet.org/image/s/98da84b152e2872d2abd2dc3377a451c1340556f', 'https://bs.plantnet.org/image/s/a277a2073d94b399a7d5439268d6a3a6d9e30c61', 'https://api.plantnet.org/v1/gbif/2684918/map.png']",LC,1206,,
Araucaria cunninghamii Mudie,hoop pine,ห่วงสน,ต้นสน,araucaria,araucariaceae,"['https://bs.plantnet.org/image/s/d7c7adb5342b418d8fa180d73dc3f829ca1493ab', 'https://bs.plantnet.org/image/s/8d93465b248e2f616dbcbed0b63ce6d0afa8a0a8', 'https://bs.plantnet.org/image/s/e67913f204f04305ccb84db61aa5dd6fb9976235', 'https://bs.plantnet.org/image/s/e40112ccdd42a1fbe859b4071e0cc0c5793dc9bb', 'https://bs.plantnet.org/image/s/f0d30c2840ba19e2cbe005198b9a017cb5a91126', 'https://api.plantnet.org/v1/gbif/7942204/map.png']",LC,142,,
Araucaria hunsteinii K.Schum.,klinki pine,ไม้สนคลิงกี้,ใบมีดเพน,araucaria,araucariaceae,"['https://bs.plantnet.org/image/s/14c16857cf288e2492eca197dbcca9dbe364f110', 'https://bs.plantnet.org/image/s/e30d320044047c7f35a4644091700f98e60da1ec', 'https://bs.plantnet.org/image/s/2bd1aedaffea9268199254946899c193f4eaffa5', 'https://bs.plantnet.org/image/s/7eadf1e2dbe8daa3f9dd0c53b39b4dffccbb5a53', 'https://bs.plantnet.org/image/s/7240ca305a7c2c4f7993674bf8b41acf10eeab60', 'https://api.plantnet.org/v1/gbif/2684933/map.png']",NT,25,,
Archidendron globosum (Blume) I.C.Nielsen,,,,archidendron,fabaceae,"['https://bs.plantnet.org/image/s/b1b31d90b9499193aef1f9f7d41d46de69d78aaf', 'https://api.plantnet.org/v1/gbif/2941218/map.png']",LC,1,,
Archidendron jiringa (Jack) I.C.Nielsen,jengkol,เจงกล,Jengkol,archidendron,fabaceae,"['https://bs.plantnet.org/image/s/915f7d63dc87e5d1db9ccc23f94866ec6f881ad4', 'https://bs.plantnet.org/image/s/88aee07cebeefda09477d342639832185e82c212', 'https://bs.plantnet.org/image/s/4704cb017a830b75db424028cf638a6771e0ca5c', 'https://bs.plantnet.org/image/s/ee19905630146b9e4d385c39dc7fbbe3b657a152', 'https://bs.plantnet.org/image/s/ac32e2bc42edeb63d0f9ded04683dbc4ac1b0586', 'https://api.plantnet.org/v1/gbif/2941605/map.png']",LC,10,,
Archidendron lucyi F.Muell.,scarlet bean,ถั่วแดง,ถั่วแดง,archidendron,fabaceae,"['https://bs.plantnet.org/image/s/471e40369c9156dfdeb1bba9ec2b48e48caa9645', 'https://api.plantnet.org/v1/gbif/2941496/map.png']",LC,1,,
Arctium lappa L.,great burdock,หญ้าเจ้าชู้ที่ดี,Burdock ที่ยอดเยี่ยม,arctium,asteraceae,"['https://bs.plantnet.org/image/s/749c939589d3f07aae944b721d56ae2a34356bdd', 'https://bs.plantnet.org/image/s/459bc907b7b3b00a710f4d8d44b9de0e059e806d', 'https://bs.plantnet.org/image/s/7ecef848f60ffd6d28901f3ebcea012cb7e76419', 'https://bs.plantnet.org/image/s/aa396dd049d263a61f9a0cfd5e3ad380e57c332c', 'https://bs.plantnet.org/image/s/2fc83144e9b1367e4b9b9919fdc83407d3a2a857', 'https://api.plantnet.org/v1/gbif/7353729/map.png']",11300,9077,,
Ardisia crenata Sims,coralberry,คอรัลเบอร์รี่,coralberry,ardisia,primulaceae,"['https://bs.plantnet.org/image/s/6f40c916f708170458e21ecd2588119b8a28de27', 'https://bs.plantnet.org/image/s/c2e3119f350fb9d265be7c65052dd6af6e07d02c', 'https://bs.plantnet.org/image/s/47c1c36eb64a2669cc07ceb8f4ab850d70a38fc4', 'https://bs.plantnet.org/image/s/ee98b757d3449e5378abc5fc6f848b48fbe422b6', 'https://bs.plantnet.org/image/s/7c914cd021882210b36390275188d82b4018b6f8', 'https://api.plantnet.org/v1/gbif/5414379/map.png']",1165,815,,
Ardisia elliptica Thunb.,shoebutton,ปุ่มรองเท้า,รองเท้า,ardisia,primulaceae,"['https://bs.plantnet.org/image/s/240062e2446a5f63ddf3336f7981f73005356329', 'https://bs.plantnet.org/image/s/13cc630a6d7deedc54950b03ae9f9e23a7d41784', 'https://bs.plantnet.org/image/s/c028e9a6ee6c6e91b800b366bc7a0e665be09908', 'https://bs.plantnet.org/image/s/cb23d613a81ed8250c302eeafeb17ca016b46941', 'https://bs.plantnet.org/image/s/2749c23daff52e554e0d77225b0317faf6cde7ba', 'https://api.plantnet.org/v1/gbif/5414375/map.png']",LC,287,,
Ardisia humilis Vahl,low shoebutton,ปุ่มรองเท้าต่ำ,รองเท้าต่ำ,ardisia,primulaceae,"['https://bs.plantnet.org/image/s/7f5c77d8201de40a037ab87123386b734224b8f2', 'https://bs.plantnet.org/image/s/08b6c86004f76a0a41d9776b139653d4e866287e', 'https://bs.plantnet.org/image/s/3e2d7a455802a642263a681f254325fa766aafcf', 'https://bs.plantnet.org/image/s/66183c71a2f3ffc76debd97fb6922868efdff932', 'https://bs.plantnet.org/image/s/b69d798464f66cb5c6b18425b14437feb137563d', 'https://api.plantnet.org/v1/gbif/5558193/map.png']",20,11,,
Ardisia solanacea (Poir.) Roxb.,china-shrub,จีนไม้พุ่ม,จีน-ชร็อม,ardisia,primulaceae,"['https://bs.plantnet.org/image/s/75189143d394ed1bc7ca30e76a30755fb627b6a1', 'https://api.plantnet.org/v1/gbif/5414378/map.png']",LC,1,,
Areca catechu L.,indian-nut,อินเดียนนัท,นุต,areca,arecaceae,"['https://bs.plantnet.org/image/s/e93cf0459f68d8f8c7aa94e6ee02f23d3dd07645', 'https://bs.plantnet.org/image/s/422141fca5dc27a0d8cb318bda5f185fd5750fe0', 'https://bs.plantnet.org/image/s/60793e09a642ccfbc35497086cb555bcebe87606', 'https://bs.plantnet.org/image/s/19003e00a107bdba62cb531b2e6404f66db7d447', 'https://bs.plantnet.org/image/s/eb18e581bb16a279a624e7d1cfc719fa42db7e0d', 'https://api.plantnet.org/v1/gbif/2736531/map.png']",LC,375,,
Areca triandra Roxb. ex Buch.-Ham.,australian areca palm,ปาล์มหมากออสเตรเลีย,Australian Areca Palm,areca,arecaceae,"['https://bs.plantnet.org/image/s/cd8ac8ffb6e283406fd13e8059bb3246f796e961', 'https://bs.plantnet.org/image/s/c851478baccf1b70a7b1a6c86b77d80f6a7823fe', 'https://bs.plantnet.org/image/s/cb28555910309599edb862781040e164434d07f7', 'https://bs.plantnet.org/image/s/748bee0d4479f7a443a4f7113c1d57bc274fe222', 'https://bs.plantnet.org/image/s/b423502bac13bb4e9e02fe0f75ad8151a7f1304a', 'https://api.plantnet.org/v1/gbif/2736565/map.png']",LC,140,,
Areca vestiaria Giseke,orange crownshaft palm,ฝ่ามือมงกุฎสีส้ม,ปาล์มเพลาสีส้ม,areca,arecaceae,"['https://bs.plantnet.org/image/s/ebb21fefaf1f81b01d5d92b10a700b07da09c696', 'https://bs.plantnet.org/image/s/fa742174c13696572259ed8179e07e572e7044bf', 'https://bs.plantnet.org/image/s/bbd6f9ca8ef3a308daa2690f918483a08235c55a', 'https://bs.plantnet.org/image/s/e44026b1797736ed34a973ce23ee281c47de5db9', 'https://bs.plantnet.org/image/s/cf261637578b71acc78287417f5dce709c7298d8', 'https://api.plantnet.org/v1/gbif/2736602/map.png']",37,17,,
Arenga pinnata (Wurmb) Merr.,malay sago palm,ต้นสาคูมาเลย์,ปาล์มมลายู,arenga,arecaceae,"['https://bs.plantnet.org/image/s/fe7c3719b0259257ce256283a61fe276d810cea1', 'https://bs.plantnet.org/image/s/989033c8b6211d0c7f0e3a9e5a2b3c761b9c4938', 'https://bs.plantnet.org/image/s/f915a00301eab1b27fa327b57ae2fba9726350d6', 'https://bs.plantnet.org/image/s/f6ebf0be205f41522951c01e5f90c3311e48e659', 'https://bs.plantnet.org/image/s/9692366603e49b20506d086dc60b7c392b29b481', 'https://api.plantnet.org/v1/gbif/2733997/map.png']",LC,83,,
Arenga porphyrocarpa (Blume ex Mart.) H.E.Moore,calappa palm,ฝ่ามือคาลัปปา,ฝ่ามือ Calappa,arenga,arecaceae,"['https://bs.plantnet.org/image/s/a262d01e2b09631afcc51b8f53024bca96014b62', 'https://bs.plantnet.org/image/s/137f3c0a52bb9a5ea15d08d2dedfa74395f0eb3f', 'https://api.plantnet.org/v1/gbif/8584640/map.png']",2,2,,
Argemone mexicana L.,bermuda thistle,เบอร์มิวดาธิสเซิล,Bermuda Thistle,argemone,papaveraceae,"['https://bs.plantnet.org/image/s/5f5c5187aea7aaa0f06d2a0635552ac5219f65f8', 'https://bs.plantnet.org/image/s/39fbadaa6577ce78fd832e5407eb94c2960d4a22', 'https://bs.plantnet.org/image/s/d70df9b95dcf74c477cc736a36c62d0987c60a6c', 'https://bs.plantnet.org/image/s/3c3a26be871055c17328bcb9349c227bb78f9ac6', 'https://bs.plantnet.org/image/s/52397241791928d23bed6974675d2eb55def8232', 'https://api.plantnet.org/v1/gbif/2888485/map.png']",1291,983,,
Argusia argentea (L.f.) Heine,velvet soldierbush,บุชทหารกำมะหยี่,Velvet SoldierBush,argusia,boraginaceae,"['https://bs.plantnet.org/image/s/dc97b89b06519a2e3dac5db76b92fefa48a9e81a', 'https://bs.plantnet.org/image/s/6471fcfa9b72b70ed1c6a5930dfe6ec376293ce9', 'https://bs.plantnet.org/image/s/25f2009f2cf8cc2a222a5cf165de6fca9c7c1e50', 'https://bs.plantnet.org/image/s/a07348ec4943a9a7f9c9c323b076e6d343600268', 'https://bs.plantnet.org/image/s/ad5dc92526382175cd0318e18cc595459772323d', 'https://api.plantnet.org/v1/gbif/8223151/map.png']",7,2,,
Argyreia nervosa (Burm. f.) Bojer,baby wood-rose,เบบี้วู้ด-โรส,ลูกหิ้ว,argyreia,convolvulaceae,"['https://bs.plantnet.org/image/s/b982dbd23cb659c59efd1374e852cf9e75ac0266', 'https://bs.plantnet.org/image/s/1610b87c55f1f0428cd79f226b82ac60f03f66bf', 'https://bs.plantnet.org/image/s/777dc9816806eddff06814a1d025624a9a591012', 'https://bs.plantnet.org/image/s/a0daf014961fb749ef368dec3e4409a2539241e7', 'https://bs.plantnet.org/image/s/4dc73894ea1b4e2168fe407166564e0e579fb2d1', 'https://api.plantnet.org/v1/gbif/2928692/map.png']",315,220,,
Aristolochia tagala Cham.,,,,aristolochia,aristolochiaceae,"['https://bs.plantnet.org/image/s/d6778b5b694cff000d2e2c70f5c747a30e057b9d', 'https://bs.plantnet.org/image/s/7a323b8bfbedd29e59b12f17459102bc864577eb', 'https://bs.plantnet.org/image/s/ac2d6372d566487cfb16c29af3de143fec336ef3', 'https://bs.plantnet.org/image/s/49c12a6b83d90a98c7db0bf39fd785c9e6153d35', 'https://bs.plantnet.org/image/s/bdfe997981a5976112a74146cc4cf7dd5deb2b46', 'https://api.plantnet.org/v1/gbif/7313590/map.png']",6,3,,
"Armoracia rusticana P.Gaertn., B.Mey. & Scherb.",horseradish,มะรุม,พืชชนิดหนึ่ง,armoracia,brassicaceae,"['https://bs.plantnet.org/image/s/b09e87b3abdcf18ff0da03ec7c5b49013a94c651', 'https://bs.plantnet.org/image/s/8e75167d05f6d6d24ae02702b64253dfda4d992b', 'https://bs.plantnet.org/image/s/e848c17fd2b6361a604b3c21b5fbe98d02852a0d', 'https://bs.plantnet.org/image/s/ac2269ae2178958bf106b6233c245b460085c449', 'https://bs.plantnet.org/image/s/6545fd7680bee1cdbce9b04a528f2eadb97b56e3', 'https://api.plantnet.org/v1/gbif/3041022/map.png']",LC,2417,,
Arracacia xanthorrhiza Bancr.,peruvian-carrot,แครอทเปรู,ชาวเปรู,arracacia,apiaceae,"['https://bs.plantnet.org/image/s/46a7ab68752b6ffae90e8816dc2f4186dc384eb4', 'https://bs.plantnet.org/image/s/24e3bfb4370eb1ee7c43e003d411f52bf3d4689e', 'https://bs.plantnet.org/image/s/000d15f69dc25110987f87332cb7d791629f6421', 'https://bs.plantnet.org/image/s/245f79f381a23ffcd02405381ce997bd532d0a91', 'https://bs.plantnet.org/image/s/a5a2a40ed69f03053baa646a5134106d126e5dd6', 'https://api.plantnet.org/v1/gbif/3034509/map.png']",13,11,,
Artabotrys hexapetalus (L.f.) Bhandari,climbing ilang-ilang,ปีนขึ้นไปหลายอัน,ปีนขึ้นไปบ้าง,artabotrys,annonaceae,"['https://bs.plantnet.org/image/s/1fd93e4447a717a7cf050867c2626ef739e54ed0', 'https://bs.plantnet.org/image/s/bdf4188d55a0af226fb0097fde5e8c33acebb8f2', 'https://bs.plantnet.org/image/s/488404d254805ef6edf1231f94043b665b242fbc', 'https://bs.plantnet.org/image/s/c4067aa0741ffa9575a1738319d4ba57671f843f', 'https://bs.plantnet.org/image/s/f08b1dd770e426e436876a27357ad9a579a28fa0', 'https://api.plantnet.org/v1/gbif/3154909/map.png']",64,43,,
Artanema longifolium (L.) Vatke,,,,artanema,linderniaceae,"['https://bs.plantnet.org/image/s/2daa272d151d408487c0d248823992d4963f121b', 'https://api.plantnet.org/v1/gbif/7666226/map.png']",1,1,,
